gw,mae,rmse,corr,n_players,top10_overlap
10,1.341,2.319,0.525,493,1
11,1.484,2.505,0.487,494,0
12,1.498,2.613,0.438,496,0
13,1.412,2.473,0.451,498,1
14,1.52,2.645,0.442,498,0
15,1.405,2.385,0.532,499,1
16,1.51,2.615,0.463,499,0
17,1.46,2.453,0.466,499,1
18,1.335,2.381,0.488,501,1
19,1.447,2.351,0.533,502,0
20,1.35,2.363,0.517,502,0
21,1.331,2.195,0.563,504,1
22,1.414,2.213,0.502,508,1
23,1.428,2.299,0.499,509,1
24,1.401,2.337,0.505,511,0
25,1.292,2.18,0.565,515,1
26,1.562,2.644,0.417,573,0
27,1.287,2.279,0.538,521,0
28,1.367,2.321,0.472,521,1
29,1.351,2.33,0.52,521,0
30,1.307,2.154,0.572,521,2
31,1.347,2.306,0.523,416,1
32,1.289,2.114,0.367,521,1
